City,Country,Latitude,Longitude,Date/Time,Temperature (F),Humidity (%),Wind Speed (mph),Cloud Cover (%)
Mmabatho,ZA,-25.85,25.61,Sun Mar 31 10:00:00 2019,84.2,26,4.7,40
Albany,US,42.65,-73.75,Sun Mar 31 11:07:05 2019,38.71,80,10.29,90
Beloha,MG,-25.17,45.06,Sun Mar 31 11:10:30 2019,69.55,80,5.39,0
Saint-Cyr-sur-Loire,FR,47.41,0.67,Sun Mar 31 11:09:08 2019,66.79,37,10.29,0
Arraial do Cabo,BR,-22.97,-42.02,Sun Mar 31 10:00:00 2019,81.54,57,6.93,20
Busselton,AU,-33.64,115.35,Sun Mar 31 11:05:24 2019,67.98,32,7.74,88
Mataura,NZ,-46.19,168.86,Sun Mar 31 11:00:08 2019,64.0,67,8.01,36
Yellowknife,CA,62.45,-114.38,Sun Mar 31 11:07:09 2019,33.01,93,12.75,75
Havelock,US,34.88,-76.9,Sun Mar 31 11:10:10 2019,72.59,68,24.16,1
Faanui,PF,-16.48,-151.75,Sun Mar 31 11:10:32 2019,83.05,100,4.5,64
Huarmey,PE,-10.07,-78.15,Sun Mar 31 11:10:32 2019,79.0,58,4.61,12
Anloga,GH,5.79,0.9,Sun Mar 31 10:00:00 2019,87.8,79,17.22,20
Leh,IN,34.16,77.58,Sun Mar 31 11:05:54 2019,6.37,80,1.92,68
Ponta do Sol,BR,-20.63,-46.0,Sun Mar 31 11:08:50 2019,82.87,55,4.5,0
Kodiak,US,39.95,-94.76,Sun Mar 31 11:10:13 2019,35.67,22,6.93,1
Necochea,AR,-38.55,-58.74,Sun Mar 31 11:06:08 2019,83.28,54,3.0,0
Cayenne,GF,4.94,-52.33,Sun Mar 31 10:30:00 2019,87.8,58,11.41,32
Khatanga,RU,71.98,102.47,Sun Mar 31 11:11:34 2019,30.22,89,15.68,64
Aneho,TG,6.23,1.6,Sun Mar 31 10:00:00 2019,87.8,79,17.22,20
Nikolskoye,RU,59.7,30.79,Sun Mar 31 11:06:04 2019,35.65,86,11.18,75
Port Alfred,ZA,-33.59,26.89,Sun Mar 31 11:08:56 2019,70.27,89,3.6,100
Anito,PH,12.45,125.29,Sun Mar 31 11:11:35 2019,78.73,97,9.75,0
Torbay,CA,47.66,-52.73,Sun Mar 31 11:02:08 2019,55.6,54,18.34,40
Gold Coast,AU,-28.0,153.41,Sun Mar 31 11:10:49 2019,61.39,77,3.36,0
Puerto Ayora,EC,-0.74,-90.35,Sun Mar 31 11:01:30 2019,81.81,74,10.29,20
Erdenet,MN,49.03,104.04,Sun Mar 31 11:11:36 2019,22.3,58,3.71,24
Georgetown,GY,6.8,-58.16,Sun Mar 31 10:00:00 2019,89.6,59,13.87,75
Iqaluit,CA,63.75,-68.52,Sun Mar 31 11:02:01 2019,10.22,78,12.75,90
Vila Velha,BR,-3.71,-38.6,Sun Mar 31 10:50:01 2019,83.82,100,1.99,8
Ostrovnoy,RU,68.05,39.51,Sun Mar 31 11:09:22 2019,24.1,81,15.79,12
Kapaa,US,22.08,-159.32,Sun Mar 31 09:56:00 2019,64.6,82,6.93,40
Brae,GB,60.4,-1.35,Sun Mar 31 10:50:00 2019,43.72,81,23.04,64
Ihosy,MG,-22.4,46.13,Sun Mar 31 11:11:37 2019,65.05,60,3.04,0
Cidreira,BR,-30.17,-50.22,Sun Mar 31 11:11:20 2019,81.43,72,5.17,56
Umm Kaddadah,SD,13.6,26.69,Sun Mar 31 11:11:37 2019,76.57,15,8.3,0
Kurchum,KZ,48.57,83.65,Sun Mar 31 11:11:38 2019,36.97,79,1.7,36
Dakar,SN,14.69,-17.45,Sun Mar 31 10:30:00 2019,75.13,50,24.16,0
Hilo,US,19.71,-155.08,Sun Mar 31 11:04:24 2019,64.02,82,4.7,75
Sao Filipe,CV,14.9,-24.5,Sun Mar 31 11:11:38 2019,72.25,91,17.47,0
Toktogul,KG,41.87,72.95,Sun Mar 31 11:11:38 2019,25.27,83,0.92,0
Sioux Lookout,CA,50.1,-91.92,Sun Mar 31 10:00:00 2019,27.99,46,6.93,40
Muscat,OM,23.6,58.55,Sun Mar 31 09:50:00 2019,80.6,69,5.82,0
Butaritari,KI,3.07,172.79,Sun Mar 31 11:09:03 2019,81.79,100,15.23,76
Cabinda,AO,-5.56,12.19,Sun Mar 31 11:11:40 2019,84.31,97,9.31,44
Port Blair,IN,11.67,92.75,Sun Mar 31 11:11:40 2019,84.13,100,6.06,0
Mahebourg,MU,-20.41,57.7,Sun Mar 31 11:09:03 2019,79.63,69,3.49,40
Vila Franca do Campo,PT,37.72,-25.43,Sun Mar 31 11:09:41 2019,56.98,72,18.34,40
Plaster Rock,CA,46.91,-67.4,Sun Mar 31 11:11:13 2019,49.57,87,14.99,90
Yumen,CN,40.29,97.04,Sun Mar 31 11:11:41 2019,32.47,62,1.7,8
Dikson,RU,73.51,80.55,Sun Mar 31 11:09:19 2019,29.5,94,22.06,44
Richards Bay,ZA,-28.77,32.06,Sun Mar 31 11:11:42 2019,78.55,67,10.42,8
Porto Nacional,BR,-10.7,-48.41,Sun Mar 31 10:00:00 2019,89.6,59,8.05,40
Lincoln,GB,53.23,-0.54,Sun Mar 31 11:11:07 2019,46.99,70,12.75,75
Yarada,IN,17.65,83.27,Sun Mar 31 10:30:00 2019,84.2,79,6.93,0
Ban Tak,TH,17.04,99.08,Sun Mar 31 11:11:43 2019,72.52,59,3.49,20
Ranong,TH,9.96,98.62,Sun Mar 31 11:11:43 2019,83.86,98,4.83,20
Barrow,AR,-38.31,-60.23,Sun Mar 31 11:11:44 2019,83.5,38,7.74,12
Saint-Philippe,CA,45.36,-73.48,Sun Mar 31 11:08:53 2019,33.87,90,12.75,90
Caraballeda,VE,10.61,-66.85,Sun Mar 31 11:11:44 2019,79.81,91,15.46,0
Taoudenni,ML,22.68,-3.98,Sun Mar 31 11:11:45 2019,76.66,37,10.31,0
Tasiilaq,GL,65.61,-37.64,Sun Mar 31 09:50:00 2019,24.8,79,31.09,56
Acapulco,MX,16.86,-99.88,Sun Mar 31 09:43:00 2019,82.4,65,8.05,5
Ugoofaaru,MV,5.67,73.0,Sun Mar 31 11:11:46 2019,84.85,100,0.81,0
San Quintin,PH,17.54,120.52,Sun Mar 31 11:11:46 2019,71.35,90,3.15,64
Kizukuri,JP,40.81,140.39,Sun Mar 31 11:10:08 2019,31.05,80,10.0,88
Manzanillo,CU,20.34,-77.12,Sun Mar 31 11:11:47 2019,82.33,92,3.38,0
Chandrapur,IN,19.95,79.3,Sun Mar 31 11:11:47 2019,70.45,77,4.83,44
Somanda,TZ,-3.37,33.95,Sun Mar 31 11:11:48 2019,70.27,85,1.92,12
Laguna,MX,27.52,-110.01,Sun Mar 31 09:42:00 2019,75.2,27,2.24,5
Adre,TD,13.47,22.2,Sun Mar 31 11:11:48 2019,78.55,51,2.93,0
Matagami,NG,9.67,8.4,Sun Mar 31 11:12:49 2019,85.75,22,7.29,0
Kununurra,AU,-15.77,128.74,Sun Mar 31 10:30:00 2019,68.0,68,8.75,0
Sao Joao da Barra,BR,-21.64,-41.05,Sun Mar 31 10:00:00 2019,86.0,45,4.7,40
Nuuk,GL,64.17,-51.74,Sun Mar 31 09:50:00 2019,23.0,62,20.8,75
Aklavik,CA,68.22,-135.01,Sun Mar 31 10:50:00 2019,37.94,94,16.11,90
Gavle,SE,60.67,17.14,Sun Mar 31 11:12:31 2019,41.0,30,7.0,20
Yima,CN,34.75,111.87,Sun Mar 31 11:12:50 2019,31.57,45,1.81,0
Tevaitoa,PF,-16.78,-151.5,Sun Mar 31 11:12:51 2019,83.23,100,2.71,12
Hithadhoo,MV,-0.6,73.08,Sun Mar 31 11:08:50 2019,83.86,100,5.95,12
Bam,IR,29.11,58.36,Sun Mar 31 11:12:51 2019,62.17,45,5.5,12
Longyearbyen,NO,78.22,15.63,Sun Mar 31 10:20:00 2019,6.8,65,6.93,20
Carnarvon,ZA,-30.97,22.13,Sun Mar 31 11:12:52 2019,71.26,33,15.01,8
Loandjili,CG,-4.77,11.87,Sun Mar 31 10:00:00 2019,87.8,66,4.7,20
The Pas,CA,53.82,-101.24,Sun Mar 31 10:00:00 2019,28.4,58,11.41,75
Karratha,AU,-20.74,116.85,Sun Mar 31 11:12:52 2019,73.24,71,3.04,8
Kahului,US,20.89,-156.47,Sun Mar 31 11:00:47 2019,63.91,82,5.82,20
Caravelas,BR,-17.73,-39.27,Sun Mar 31 11:12:53 2019,81.52,100,15.46,0
Hambantota,LK,6.12,81.12,Sun Mar 31 11:12:53 2019,82.33,100,7.63,0
Bambous Virieux,MU,-20.34,57.76,Sun Mar 31 11:09:03 2019,79.75,69,3.49,40
Moron,VE,10.49,-68.2,Sun Mar 31 11:12:54 2019,76.75,88,3.04,68
Dharmanagar,IN,24.37,92.17,Sun Mar 31 11:12:54 2019,67.93,97,3.6,92
Kiunga,PG,-6.12,141.3,Sun Mar 31 11:12:55 2019,73.69,97,1.25,92
Khor,RU,47.88,134.96,Sun Mar 31 11:12:55 2019,2.05,58,4.05,0
Cabo San Lucas,MX,22.89,-109.91,Sun Mar 31 11:10:25 2019,79.57,38,3.71,5
Mar del Plata,AR,-46.43,-67.52,Sun Mar 31 11:12:55 2019,75.94,28,11.21,0
Wailuku,US,20.89,-156.51,Sun Mar 31 11:10:47 2019,63.52,82,5.82,20
Maracacume,BR,-2.04,-45.96,Sun Mar 31 11:11:05 2019,76.48,100,3.71,92
Bundi,IN,25.44,75.64,Sun Mar 31 11:12:56 2019,70.36,56,3.38,0
Ahipara,NZ,-35.17,173.16,Sun Mar 31 11:09:26 2019,67.3,99,10.09,92
Hamilton,CA,43.26,-79.87,Sun Mar 31 11:08:59 2019,33.85,86,10.29,90
Camocim,BR,-2.9,-40.84,Sun Mar 31 11:12:57 2019,81.25,100,6.4,76
Isangel,VU,-19.55,169.27,Sun Mar 31 11:09:31 2019,78.73,100,11.21,68
Anderson,US,34.51,-82.65,Sun Mar 31 11:15:00 2019,60.06,42,14.99,1
Warrington,GB,53.39,-2.59,Sun Mar 31 11:12:35 2019,49.64,65,14.99,20
Mount Gambier,AU,-37.83,140.78,Sun Mar 31 10:00:00 2019,50.0,100,2.04,90
Flin Flon,CA,54.77,-101.88,Sun Mar 31 10:00:00 2019,28.4,46,18.34,90
Lebu,ET,8.96,38.73,Sun Mar 31 11:09:22 2019,62.53,51,4.72,32
Mendi,ET,9.8,35.1,Sun Mar 31 11:12:59 2019,69.82,36,4.38,0
Flinders,AU,-34.58,150.85,Sun Mar 31 11:11:38 2019,54.45,71,10.29,32
East London,ZA,-33.02,27.91,Sun Mar 31 10:00:00 2019,69.8,83,5.82,40
Chanika,MW,-12.93,34.19,Sun Mar 31 11:13:00 2019,72.52,94,2.93,0
Nouadhibou,MR,20.93,-17.03,Sun Mar 31 10:00:00 2019,71.6,60,21.92,0
Bhachau,IN,23.3,70.35,Sun Mar 31 11:13:00 2019,80.89,30,10.54,0
Kavieng,PG,-2.57,150.8,Sun Mar 31 11:13:00 2019,81.16,100,9.19,92
Hermanus,ZA,-34.42,19.24,Sun Mar 31 11:01:41 2019,64.0,69,5.99,12
Sayyan,YE,15.17,44.32,Sun Mar 31 11:13:01 2019,60.73,36,5.84,0
Gualaquiza,EC,-3.4,-78.58,Sun Mar 31 11:13:01 2019,70.27,78,2.15,80
Saskylakh,RU,71.97,114.09,Sun Mar 31 11:13:02 2019,18.7,73,12.66,0
Mutis,CO,6.23,-77.4,Sun Mar 31 11:13:02 2019,77.02,92,7.4,88
Ferme-Neuve,CA,46.7,-75.45,Sun Mar 31 11:11:34 2019,30.22,71,10.31,80
Dongsheng,CN,29.72,112.52,Sun Mar 31 11:14:02 2019,47.32,82,2.37,0
Biala Podlaska,PL,52.03,23.12,Sun Mar 31 11:14:03 2019,49.57,50,15.79,0
Uruzgan,AF,32.93,66.63,Sun Mar 31 11:14:03 2019,30.49,68,1.7,8
Roald,NO,62.58,6.12,Sun Mar 31 11:10:03 2019,34.57,64,14.99,75
Pangnirtung,CA,66.15,-65.72,Sun Mar 31 10:00:00 2019,6.8,71,5.82,40
Berlevag,NO,70.86,29.09,Sun Mar 31 09:50:00 2019,28.4,86,40.26,40
Port Elizabeth,US,39.31,-74.98,Sun Mar 31 11:13:54 2019,52.95,76,19.46,90
Dalbandin,PK,28.9,64.41,Sun Mar 31 11:14:05 2019,62.98,37,7.07,8
Zhanaozen,KZ,43.35,52.85,Sun Mar 31 11:14:05 2019,35.26,79,7.85,8
Robertsport,LR,6.75,-11.37,Sun Mar 31 11:14:05 2019,83.05,98,5.39,0
Muros,ES,42.77,-9.06,Sun Mar 31 11:13:55 2019,62.83,44,5.82,40
Dunedin,NZ,-45.87,170.5,Sun Mar 31 11:00:40 2019,62.01,80,8.01,20
Muli,IN,22.62,71.45,Sun Mar 31 11:14:06 2019,80.71,29,10.76,0
Kaitangata,NZ,-46.28,169.85,Sun Mar 31 11:07:29 2019,60.01,70,5.99,56
Coquimbo,CL,-29.95,-71.34,Sun Mar 31 10:00:00 2019,66.2,68,11.41,0
Chase,US,43.89,-85.64,Sun Mar 31 11:13:20 2019,28.54,42,18.34,90
Dusetos,LT,55.75,25.85,Sun Mar 31 11:14:07 2019,38.5,65,19.26,56
Balezino,RU,57.97,53.01,Sun Mar 31 11:14:07 2019,33.73,95,13.78,92
Hattiesburg,US,31.33,-89.29,Sun Mar 31 11:10:17 2019,47.55,61,12.75,90
Thompson,CA,55.74,-97.86,Sun Mar 31 10:00:00 2019,24.8,53,14.99,75
Bredasdorp,ZA,-34.53,20.04,Sun Mar 31 11:00:22 2019,65.88,52,25.28,36
Alto Longa,BR,-5.25,-42.21,Sun Mar 31 11:14:09 2019,81.7,93,2.26,80
Shimoda,JP,34.7,138.93,Sun Mar 31 11:09:06 2019,52.0,100,12.44,0
Arlit,NE,18.74,7.39,Sun Mar 31 11:14:09 2019,88.63,21,3.38,8
Hami,CN,42.84,93.51,Sun Mar 31 11:14:09 2019,44.53,60,2.04,48
Ivot,UA,51.99,33.48,Sun Mar 31 11:14:10 2019,51.82,62,10.76,0
Baoqing,CN,46.32,132.2,Sun Mar 31 11:14:10 2019,12.13,60,3.71,8
La Reforma,GT,14.8,-91.82,Sun Mar 31 11:01:15 2019,81.61,69,6.93,20
Jacmel,HT,18.24,-72.54,Sun Mar 31 11:05:16 2019,86.0,67,6.51,8
Comodoro Rivadavia,AR,-45.87,-67.48,Sun Mar 31 10:00:00 2019,75.2,29,14.99,0
Broken Hill,AU,-31.97,141.45,Sun Mar 31 10:00:00 2019,53.6,66,1.12,0
Mackay,CA,53.65,-115.58,Sun Mar 31 10:00:00 2019,32.02,74,4.7,75
Lujan,AR,-46.57,-67.67,Sun Mar 31 11:14:12 2019,74.23,23,10.42,0
Husavik,CA,50.56,-96.99,Sun Mar 31 11:05:34 2019,36.09,58,4.16,36
Shingu,JP,33.72,135.99,Sun Mar 31 11:14:12 2019,49.93,100,16.91,0
Garowe,SO,8.41,48.48,Sun Mar 31 11:10:26 2019,78.19,41,12.66,0
Geraldton,CA,49.72,-86.95,Sun Mar 31 10:16:00 2019,23.0,41,8.05,75
Puerto Escondido,MX,15.86,-97.07,Sun Mar 31 09:40:00 2019,84.2,58,9.17,40
Redcliffe,GB,51.45,-2.59,Sun Mar 31 11:13:34 2019,52.95,71,14.99,75
Butembo,CD,0.12,29.29,Sun Mar 31 11:14:13 2019,65.41,90,1.14,12
Khandbari,NP,27.38,87.21,Sun Mar 31 11:14:14 2019,36.34,81,1.03,20
Alofi,NU,-19.06,-169.92,Sun Mar 31 10:00:00 2019,78.8,94,5.82,44
Avarua,CK,-21.21,-159.78,Sun Mar 31 10:30:00 2019,75.2,94,5.82,92
Yarkovo,RU,54.81,82.6,Sun Mar 31 10:30:00 2019,41.0,75,8.95,0
Norman Wells,CA,65.28,-126.83,Sun Mar 31 10:00:00 2019,37.4,64,11.41,75
Chinsali,ZM,-10.55,32.07,Sun Mar 31 11:14:15 2019,63.52,97,4.16,56
Ojinaga,US,29.56,-104.41,Sun Mar 31 11:02:12 2019,48.85,37,16.11,75
Fortuna,ES,38.18,-1.13,Sun Mar 31 11:08:29 2019,55.98,82,3.36,75
Hobyo,SO,5.35,48.53,Sun Mar 31 11:14:16 2019,80.35,81,10.76,56
Lompoc,US,34.64,-120.46,Sun Mar 31 11:11:11 2019,65.59,55,8.05,1
Namibe,AO,-15.19,12.15,Sun Mar 31 11:14:16 2019,79.63,96,8.08,36
Mana,RS,43.52,20.24,Sun Mar 31 11:00:00 2019,59.13,27,4.7,0
Ambovombe,MG,-25.18,46.09,Sun Mar 31 11:14:17 2019,72.88,92,6.17,0
Pangody,RU,65.85,74.49,Sun Mar 31 11:14:18 2019,29.86,93,15.46,88
Eydhafushi,MV,5.1,73.07,Sun Mar 31 11:08:54 2019,84.85,100,0.81,0
Saldanha,PT,41.42,-6.55,Sun Mar 31 11:15:18 2019,62.26,36,4.38,92
Basco,US,40.33,-91.2,Sun Mar 31 11:11:16 2019,35.69,55,10.29,1
Half Moon Bay,US,37.46,-122.43,Sun Mar 31 11:12:04 2019,59.65,67,5.39,1
Keetmanshoop,NA,-26.57,18.15,Sun Mar 31 11:15:19 2019,76.03,49,10.2,88
Kosugi,JP,36.71,137.1,Sun Mar 31 11:11:30 2019,41.4,99,3.15,88
Sitka,US,37.17,-99.65,Sun Mar 31 11:01:43 2019,41.0,49,1.99,0
Rolla,US,37.95,-91.77,Sun Mar 31 11:13:34 2019,38.35,51,10.29,1
Bolobo,CD,-2.17,16.23,Sun Mar 31 11:15:20 2019,83.77,74,1.92,20
Buldana,IN,20.53,76.18,Sun Mar 31 11:15:20 2019,81.52,28,10.2,0
Zarinsk,RU,53.71,84.95,Sun Mar 31 11:15:21 2019,35.98,92,8.52,24
Tefe,BR,-3.35,-64.71,Sun Mar 31 10:00:00 2019,89.6,62,4.7,20
Moose Factory,CA,51.26,-80.61,Sun Mar 31 10:00:00 2019,19.4,41,11.41,1
Tahe,CN,52.34,124.71,Sun Mar 31 11:15:22 2019,12.4,63,4.27,24
Port Lincoln,AU,-34.72,135.86,Sun Mar 31 11:15:22 2019,56.95,100,2.93,36
Ternate,PH,14.29,120.72,Sun Mar 31 11:00:23 2019,81.81,65,11.41,20
Patur,IN,20.46,76.94,Sun Mar 31 11:15:23 2019,83.41,26,10.54,0
Coihaique,CL,-45.58,-72.07,Sun Mar 31 10:00:00 2019,64.4,45,31.09,0
La Ronge,CA,55.1,-105.3,Sun Mar 31 10:00:00 2019,30.2,58,9.17,75
Leczyca,PL,52.06,19.2,Sun Mar 31 11:15:06 2019,49.5,57,13.87,40
Provideniya,RU,64.42,-173.23,Sun Mar 31 11:09:02 2019,27.97,98,8.63,80
Weligama,LK,5.97,80.42,Sun Mar 31 11:09:21 2019,79.45,96,5.73,0
Banjar,ID,-7.37,108.54,Sun Mar 31 11:15:24 2019,70.27,96,2.26,76
Saint George,GR,39.45,22.34,Sun Mar 31 10:50:00 2019,58.05,44,4.7,0
Ryotsu,JP,38.08,138.43,Sun Mar 31 11:15:25 2019,43.54,100,20.04,24
Calafell,ES,41.2,1.57,Sun Mar 31 11:15:22 2019,57.63,72,6.93,40
Mogadishu,SO,2.04,45.34,Sun Mar 31 11:05:18 2019,83.77,97,15.68,0
Clyde River,CA,70.47,-68.59,Sun Mar 31 10:00:00 2019,3.2,84,2.24,75
Sterling,US,39.0,-77.4,Sun Mar 31 11:11:17 2019,53.13,47,17.22,40
Sola,NO,58.89,5.65,Sun Mar 31 11:15:24 2019,38.59,52,13.87,40
Serebryanyy Bor,RU,56.8,124.8,Sun Mar 31 11:15:27 2019,13.57,84,3.27,68
Rome,IT,41.89,12.48,Sun Mar 31 11:12:04 2019,60.71,45,5.82,0
Murdochville,CA,48.96,-65.49,Sun Mar 31 11:15:27 2019,49.48,79,17.25,88
Jiuquan,CN,39.73,98.49,Sun Mar 31 11:09:30 2019,24.28,67,3.15,0
Phultala,BD,22.7,89.52,Sun Mar 31 11:15:28 2019,79.63,61,10.31,36
Codrington,AU,-28.95,153.24,Sun Mar 31 10:00:00 2019,54.3,93,3.94,0
Okhotsk,RU,59.36,143.24,Sun Mar 31 11:08:46 2019,17.8,86,4.83,0
Jalu,LY,29.03,21.55,Sun Mar 31 11:15:29 2019,62.89,42,8.97,0
Srednekolymsk,RU,67.46,153.71,Sun Mar 31 11:15:29 2019,-2.9,62,2.93,0
Vung Tau,VN,10.35,107.08,Sun Mar 31 11:15:29 2019,82.69,96,12.21,88
Rock Springs,US,41.59,-109.2,Sun Mar 31 10:54:00 2019,28.4,74,5.82,1
Talnakh,RU,69.49,88.39,Sun Mar 31 11:15:30 2019,27.97,87,16.8,88
Billings,US,45.79,-108.5,Sun Mar 31 11:11:35 2019,46.65,45,6.93,1
Conde,BR,-11.81,-37.61,Sun Mar 31 11:15:30 2019,80.8,98,6.51,12
Panlaitan,PH,12.12,119.85,Sun Mar 31 11:15:31 2019,79.9,94,10.76,0
Poum,MK,41.28,20.71,Sun Mar 31 10:30:00 2019,57.2,28,2.24,0
Ribeira Grande,PT,38.52,-28.7,Sun Mar 31 11:00:00 2019,57.2,58,13.87,75
Kruisfontein,ZA,-34.0,24.73,Sun Mar 31 11:15:31 2019,60.55,86,6.17,56
Tiksi,RU,71.64,128.87,Sun Mar 31 11:15:32 2019,19.15,76,6.29,80
Balkanabat,TM,39.51,54.36,Sun Mar 31 11:15:32 2019,41.29,85,6.17,76
Salinopolis,BR,-0.61,-47.36,Sun Mar 31 11:15:32 2019,77.65,100,7.63,88
Stanger,ZA,-29.34,31.29,Sun Mar 31 11:14:36 2019,73.56,83,17.22,20
Candolim,IN,15.52,73.76,Sun Mar 31 11:15:14 2019,77.83,100,5.39,0
Manthani,IN,18.65,79.67,Sun Mar 31 11:16:33 2019,78.64,59,11.99,20
Chicama,PE,-7.84,-79.15,Sun Mar 31 10:00:00 2019,71.6,83,12.75,20
Saint Anthony,US,43.97,-111.68,Sun Mar 31 11:10:13 2019,36.3,55,3.36,1
Xichang,CN,27.88,102.25,Sun Mar 31 11:16:34 2019,47.14,98,0.92,92
Metro,ID,-5.11,105.31,Sun Mar 31 11:15:27 2019,79.0,89,7.74,8
Santa Isabel do Rio Negro,BR,-0.41,-65.02,Sun Mar 31 11:16:34 2019,93.13,53,4.94,20
Benton Harbor,US,42.12,-86.45,Sun Mar 31 11:15:30 2019,30.33,46,13.87,90
Nanortalik,GL,60.14,-45.24,Sun Mar 31 11:09:26 2019,27.25,100,27.98,44
Assiniboia,CA,49.63,-105.99,Sun Mar 31 11:16:35 2019,34.18,77,6.96,32
Samarai,PG,-10.62,150.67,Sun Mar 31 11:16:35 2019,80.08,100,10.42,68
Paamiut,GL,61.99,-49.67,Sun Mar 31 11:09:19 2019,26.35,100,9.75,64
Uarini,BR,-2.98,-65.16,Sun Mar 31 10:00:00 2019,89.6,62,4.7,20
Cao Bang,VN,22.67,106.25,Sun Mar 31 11:15:52 2019,61.81,99,4.61,92
Abha,SA,18.22,42.5,Sun Mar 31 10:00:00 2019,68.95,37,11.41,20
Seguela,CI,7.96,-6.67,Sun Mar 31 11:16:37 2019,80.17,79,6.51,64
Chuy,UY,-33.69,-53.46,Sun Mar 31 11:14:11 2019,77.2,93,8.19,0
Badnawar,IN,23.02,75.23,Sun Mar 31 10:00:00 2019,86.0,22,5.82,0
Tommot,RU,58.97,126.27,Sun Mar 31 11:09:03 2019,12.58,74,2.37,64
Mariel,CU,22.99,-82.75,Sun Mar 31 11:12:23 2019,82.24,48,6.93,40
Alyangula,AU,-13.85,136.42,Sun Mar 31 10:00:00 2019,78.8,83,18.03,40
Sahibganj,IN,25.24,87.63,Sun Mar 31 11:16:38 2019,70.0,80,7.4,0
Itarema,BR,-2.92,-39.92,Sun Mar 31 11:16:38 2019,81.25,100,7.85,44
Tsubata,JP,36.67,136.73,Sun Mar 31 11:11:30 2019,41.32,93,4.7,75
Loa Janan,ID,-0.58,117.09,Sun Mar 31 11:16:39 2019,72.7,100,2.15,32
Murgab,TM,37.5,61.97,Sun Mar 31 10:00:00 2019,55.4,50,13.87,90
Pemberton,AU,-34.44,116.03,Sun Mar 31 11:15:28 2019,65.12,73,10.09,76
Deputatskiy,RU,69.3,139.9,Sun Mar 31 11:16:40 2019,-9.83,32,2.71,0
Saint-Pierre,FR,48.95,4.24,Sun Mar 31 11:13:33 2019,67.1,21,8.05,0
